newlyConst,balcony,picturecount,hasKitchen,cellar,baseRent,livingSpace,lift,noRooms,garden,big_cities,new_ads,condition_first_time_use,condition_first_time_use_after_refurbishment,condition_fully_renovated,condition_mint_condition,condition_modernized,condition_need_of_renovation,condition_negotiable,condition_refurbished,condition_well_kept,interiorQual_luxury,interiorQual_normal,interiorQual_simple,interiorQual_sophisticated,typeOfFlat_apartment,typeOfFlat_ground_floor,typeOfFlat_half_basement,typeOfFlat_loft,typeOfFlat_maisonette,typeOfFlat_other,typeOfFlat_penthouse,typeOfFlat_raised_ground_floor,typeOfFlat_roof_storey,typeOfFlat_terraced_flat
False,False,3,False,False,950.0,123.44,False,4.0,False,False,True,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,8,True,True,553.98,87.33,True,3.0,True,False,True,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,7,False,True,285.12,54.0,False,2.0,False,False,True,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
True,True,2,False,False,989.0,111.55,True,2.5,False,True,True,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
True,True,10,False,True,845.0,56.0,True,2.0,False,False,True,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
False,True,25,True,True,1420.0,86.0,False,3.0,False,True,True,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
False,True,8,True,True,2000.0,190.0,False,6.0,False,True,True,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
True,True,11,False,True,1300.0,120.0,False,3.0,False,True,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
True,True,14,False,True,1182.12,98.51,True,4.0,False,True,True,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,5,False,True,471.5,77.0,False,3.5,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,4,False,True,450.0,83.37,False,3.5,True,False,True,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,6,False,True,220.0,36.0,False,1.5,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
False,False,9,False,True,504.0,56.0,False,2.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,8,False,True,340.0,55.0,False,2.0,True,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,12,False,True,689.0,98.0,False,3.0,False,False,True,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,1,False,True,480.0,63.62,False,2.0,False,True,True,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
False,True,15,False,True,625.0,77.0,False,4.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,10,False,True,980.0,115.0,True,4.0,False,True,True,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,False,10,True,True,395.0,60.0,False,3.0,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
False,True,4,False,True,458.0,83.74,False,3.0,True,True,True,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
False,False,7,True,True,290.0,45.1,True,2.0,False,True,True,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,7,False,True,300.0,45.0,False,1.5,True,True,True,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
False,False,1,False,True,480.0,66.0,True,2.5,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,10,False,True,1500.0,100.35,False,4.0,False,True,True,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,7,False,True,384.44,62.51,False,2.5,False,False,True,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,11,False,False,1190.0,170.0,False,3.0,True,False,True,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,False,15,False,True,370.0,62.0,False,3.0,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
False,False,7,False,True,354.8,53.5,False,2.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,18,False,True,400.3,70.85,False,3.0,True,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,4,False,True,320.0,48.0,False,2.0,True,False,True,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
False,True,2,False,True,423.0,62.03,False,2.0,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
True,True,13,True,False,846.8,58.0,True,2.0,False,True,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
False,True,4,False,False,359.0,58.0,True,2.0,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,22,True,True,1400.0,90.0,False,2.0,True,True,True,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
False,True,6,False,True,320.0,46.15,False,2.0,True,True,True,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,4,False,True,499.0,70.0,True,2.0,True,True,True,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,9,False,True,495.0,45.0,False,2.0,False,True,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
False,False,8,True,True,330.0,38.68,False,1.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
False,False,10,False,True,600.0,50.0,False,3.0,False,True,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
False,True,16,True,False,1700.0,85.0,False,2.0,False,True,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
False,True,28,False,True,577.5,77.0,False,2.5,False,False,True,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
False,False,5,False,True,318.0,52.7,False,2.0,False,False,True,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,6,False,True,1450.0,146.0,True,4.0,False,True,True,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
False,True,10,False,True,595.0,79.0,False,3.0,True,True,True,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,6,False,False,600.0,83.0,True,4.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
False,True,9,False,True,450.0,65.7,True,3.0,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
False,False,14,False,True,580.0,58.0,False,2.0,False,False,True,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,14,False,True,1000.0,100.0,False,2.0,True,True,True,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
False,True,13,False,True,350.0,55.0,True,2.0,False,False,True,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,12,False,True,915.0,94.37,False,3.0,False,True,True,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,7,False,True,345.0,48.0,False,2.0,False,False,True,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,4,True,False,245.0,36.0,False,1.0,False,True,True,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
False,True,10,False,True,490.0,83.0,False,2.0,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,8,False,True,335.0,60.5,False,2.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,7,False,True,423.0,73.0,False,3.5,False,False,True,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,7,False,True,436.09,74.0,False,3.0,False,True,True,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,11,False,True,900.0,93.27,True,3.0,False,True,True,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
False,True,15,True,True,1195.0,100.0,False,3.0,False,True,True,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
False,False,8,False,True,319.02,61.35,False,2.5,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,2,False,True,454.0,82.0,True,3.0,True,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,6,False,False,346.0,79.5,False,4.0,False,False,True,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
False,True,10,False,False,680.0,110.0,True,3.0,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,1,False,True,290.0,26.0,False,1.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
False,True,6,True,True,695.0,75.0,False,2.0,True,False,True,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,1,False,True,337.1,75.0,False,3.5,True,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
False,True,7,False,True,336.0,60.0,False,3.0,False,False,True,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
False,False,7,False,True,591.84,86.0,True,3.0,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,15,True,True,5095.0,210.56,True,5.0,False,True,True,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
False,False,8,False,True,506.48,52.0,False,2.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
False,True,8,True,False,520.0,52.0,True,2.0,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,6,False,False,300.0,59.88,False,2.5,False,False,True,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,22,True,True,500.0,50.0,False,2.0,False,False,True,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
False,True,11,False,True,380.0,62.5,False,3.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,12,False,True,600.0,78.0,False,3.0,False,False,True,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
False,True,15,True,True,1200.0,100.0,False,3.0,False,True,True,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
False,True,3,False,True,620.0,72.94,False,3.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,6,True,True,580.0,50.0,False,2.5,False,True,True,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
False,True,12,False,True,480.0,68.0,False,2.0,False,False,True,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
False,False,2,False,True,420.0,59.0,False,3.0,True,True,True,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
True,False,14,False,False,2500.0,219.18,True,4.0,False,True,True,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
True,True,14,False,True,1775.0,141.0,True,4.0,False,True,True,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,False,3,False,False,185.0,32.0,False,1.0,False,False,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
False,False,5,False,False,650.0,98.0,False,4.0,False,False,True,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,12,False,True,430.0,55.0,False,2.0,False,False,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
False,True,12,True,False,1900.0,140.0,False,5.0,False,True,True,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
False,False,6,False,True,300.0,54.0,False,2.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,True,7,True,False,425.0,48.0,False,2.0,False,False,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
False,True,25,False,True,860.0,84.63,True,3.0,True,False,True,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,10,False,False,250.0,16.16,False,1.0,False,False,True,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
True,True,39,False,False,1400.0,102.6,True,3.0,False,True,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
True,True,14,True,True,1600.0,90.0,False,3.0,False,True,True,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
False,False,13,False,True,370.0,57.0,False,2.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
False,False,8,False,True,400.0,89.23,False,3.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
False,False,7,False,True,570.0,66.23,True,2.0,True,True,True,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
False,True,0,False,True,995.0,115.0,False,3.0,True,True,True,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
False,True,16,True,False,260.0,17.0,False,1.0,False,True,True,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
